id,ime_barke,tip_barke,cena,dolzina,sirina,letnik,st_kabin,st_ur,drzava
1,AZIMUT 46 FLY,Flybridge,,14.9,4.45,2003,3,930,Italy
10,Riviera Marine 51 Flybridge,Flybridge,440000,16.67,4.93,2004,3,1000,
100,Pershing 72,Motor Yacht,,22.35,5.5,2007,,645,Italy
1000,Manò Marine 3850,Cabin Cruiser,135000,12.0,4.1,2008,3,690,Italy
1001,Crownline 315 sr,Offshore Boat,72000,9.9,3.0,2007,2,650,Italy
1003,Cantieri Navali Liguri NUOVA NAUTICA LIGURE 43,Hardtop,109000,13.0,3.6,2007,2,400,Italy
1004,Axopar 37 SC,Motor Yacht,269000,10.8,3.3,2018,1,,Italy
1005,MAXUM 2700 SE,Sport Boat,40000,8.56,2.87,2009,2,300,Italy
1006,Fairline Targa 34,Motor Yacht,120000,10.43,3.45,2004,2,450,Italy
1007,Faeton 630 Moraga,Sport Boat,29000,6.9,2.5,2000,,,Italy
1008,Luhrs 40 open,Flybridge,,11.5,4.54,2004,1,1164,Italy
101,Bluline 23 walkaround,Sport Boat,,7.02,2.42,2022,1,,Italy
1010,Di Donna SERAPO 42 CABIN HT,Hardtop,250000,13.35,4.14,2012,3,350,Italy
1011,Gobbi 425 SC,Motor Yacht,135000,13.8,4.04,2004,2,400,Italy
1012,Pardo Yachts 38 - Direct Available,Motor Yacht,549000,11.9,3.5,2023,,1,Italy
1013,Toy Marine Toy 51 Fly,Deck Boat,,15.74,4.9,2018,3,185,Italy
1014,Colombo 29 racing,Cabin Cruiser,,8.65,2.65,1991,1,700,Italy
1015,Riva St.Tropez,Deck Boat,,9.52,2.72,1980,,,Italy
1016,Sea Ray Sundancer 375,Motor Yacht,,11.4,3.66,2005,1,950,Italy
1017,Sunseeker Portofino 34,Motor Yacht,,10.2,,1991,1,480,Italy
1018,Sealine S 38,Motor Yacht,118000,11.6,3.74,2005,2,353,Italy
1019,Azimut 62S,Hardtop,,18.41,4.98,2008,2,989,Italy
102,Ilver COMMANDER 550,Sport Boat,5500,5.5,2.06,1961,,,Italy
1020,Bayliner 285 Cruiser Ciera,Motor Yacht,53000,8.7,3.02,2003,2,100,Italy
1021,Luhrs 32 OPEN,Motor Yacht,100000,9.6,3.96,2006,1,600,Italy
1022,Ranieri 4XC H22 SD WA,Deck Boat,59900,6.5,2.42,2023,1,,Italy
1023,Cranchi Atlantique 43,Flybridge,270000,11.95,4.13,2011,2,530,Italy
1025,AZIMUT 46 FLY,Flybridge,,14.9,4.45,2003,3,930,Italy
1026,Cantieri di Sarnico Sarnico 58,Hardtop,280000,17.35,4.53,2000,3,1200,Italy
1027,Kelt White shark 248,Sport Boat,45000,7.7,2.63,2007,1,500,Italy
1028,Kelt White Shark 226 Open,Center Console,43000,6.95,2.49,2014,1,,Italy
1029,IGUANA 36,Sport Boat,149000,11.5,2.89,2012,1,330,
103,Sunseeker 90 Fly,Superyacht,1850000,28.65,6.3,2008,5,,Italy
1032,Invictus GT 280,Center Console,205000,8.9,2.8,2024,1,,Slovenia
1033,Manò Marine Manò 37 Gran Sport,Motor Yacht,170000,11.63,3.5,2011,2,530,Italy
1034,Carnevali 145,Flybridge,280000,14.5,4.28,2006,3,400,Italy
1035,Black Watch Marine Black Watch 30,Motor Yacht,130000,10.0,3.6,1991,1,,Italy
1036,Albemarle 305 Express,Motor Yacht,85000,10.0,3.4,1997,2,900,Italy
1037,Ala Blu Proteo 28 flying bridge,Flybridge,49000,7.49,2.7,1998,1,1200,Italy
1038,Rodman 56 FLY,Flybridge,,17.39,4.9,2002,3,1625,Italy
